userName,score,at,content;;;;;;;
Pengguna Google,5,2021-10-22 16:28:13,Sangat keren;;;;;;;
Pengguna Google,5,2021-10-22 16:27:44,Makasih;;;;;;;
Pengguna Google,1,2021-10-22 16:26:53,Ganti versi baru malah jadi lemot gini;;;;;;;
Pengguna Google,5,2021-10-22 16:25:54,mantap;;;;;;;
Pengguna Google,5,2021-10-22 16:24:21,MantuL... Tokoed terus maju pantang kendor;;;;;;;
Pengguna Google,5,2021-10-22 16:23:43,senang banget pengguna baru dpt belanja gratis thax tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 16:23:42,Bagus;;;;;;;
Pengguna Google,5,2021-10-22 16:22:41,thank you tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 16:22:38,Good;;;;;;;
Pengguna Google,5,2021-10-22 16:22:30,Ok;;;;;;;
"Pengguna Google,5,2021-10-22 16:21:43,""Sangat baik,👍""";;;;;;;
"Pengguna Google,1,2021-10-22 16:20:33,""Nih saya seler dari Eni kicau, saya merasa rugi, burung penjualan saya di kasih gratis buat pembeli Tampa seler gak di bayar sedikitpun, moga uang yang u makan dari seler berkah ya di makan sama anak istri u, emang ya u yang kasih modal buat jualan, ingat karma itu berlaku kapok w jadi seler di tokopedia Harap untuk semua seler berhati2 karna modus sekarang pembeli maen barang/burung minta di kembalikan agar pembeli dapat barang/burung yang gratisan sehingga seler menjadi rugi besr Tanpa di byr""";;;;;;;
Pengguna Google,3,2021-10-22 16:15:40,pilihan pembayaran variatif;;;;;;;
"Pengguna Google,1,2021-10-22 16:14:33,""Jelek parah, mau refund duit malah gagal udah gtu ttp kena potongan lagi, dan yg paling parahnya kita cht pusat bantuan dibalesnya lama banget bisa sampe sejam lebih kaco ni aplikasi""";;;;;;;
Pengguna Google,5,2021-10-22 16:14:05,Baru mau nyoba;;;;;;;
Pengguna Google,5,2021-10-22 16:13:33,mantapp;;;;;;;
Pengguna Google,5,2021-10-22 16:13:05,Sangat mudah untuk membeli product;;;;;;;
Pengguna Google,1,2021-10-22 16:11:15,T4! Sungguh mengecewakan pantas saja banyak di tinggalin dan lebih memilih Si sopi🤣;;;;;;;
"Pengguna Google,5,2021-10-22 16:10:09,""lebih mudah, dan murah""";;;;;;;
